dt,dt_iso,timezone,city_name,lat,lon,temp,temp_min,temp_max,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,weather_id,weather_main,weather_description,weather_icon
1554076800,2019-04-01 00:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,-2.24,-4.46,-0.79,1,270,8,,,,,800,Clear,sky is clear,01n
1554080400,2019-04-01 01:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,-2.87,-5.57,-0.5,1,350,,,,,,800,Clear,sky is clear,01n
1554084000,2019-04-01 02:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,-3.89,-6.12,-2.18,1,280,,,,,,800,Clear,sky is clear,01n
1554087600,2019-04-01 03:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,-3.18,-6.34,-0.52,3,300,,,,,,800,Clear,sky is clear,01n
1554091200,2019-04-01 04:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,-4.63,-6.74,-2.31,2,40,,,,,,800,Clear,sky is clear,01n
1554094800,2019-04-01 05:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,-4.23,-7.23,-2.31,2,300,,,,,,802,Clouds,scattered clouds,03d
1554098400,2019-04-01 06:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,-3.22,-5.74,-1.75,1,320,2,,,,,801,Clouds,few clouds,02d
1554102000,2019-04-01 07:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,0.16,-2.79,0.99,1,210,,,,,,802,Clouds,scattered clouds,03d
1554105600,2019-04-01 08:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,2.22,-0.01,4.06,4,230,,,,,,800,Clear,sky is clear,01d
1554109200,2019-04-01 09:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.14,2.21,5.41,5,220,,,,,,800,Clear,sky is clear,01d
1554112800,2019-04-01 10:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,5.03,3.88,6.45,6,190,,,,,,801,Clouds,few clouds,02d
1554116400,2019-04-01 11:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,6.46,5.21,8.16,5,190,,,,,,801,Clouds,few clouds,02d
1554120000,2019-04-01 12:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,7.17,5.9,8.41,5,190,8,,,,,801,Clouds,few clouds,02d
1554123600,2019-04-01 13:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,7.38,6.21,8.72,6,170,,,,,,801,Clouds,few clouds,02d
1554127200,2019-04-01 14:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,7.2,6.21,8.8,6,170,,,,,,801,Clouds,few clouds,02d
1554130800,2019-04-01 15:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,6.82,5.5,8.8,6,180,,,,,,802,Clouds,scattered clouds,03d
1554134400,2019-04-01 16:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,5.98,4.78,7.39,6,180,,,,,,801,Clouds,few clouds,02d
1554138000,2019-04-01 17:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.6,3.83,5.94,6,190,,,,,,803,Clouds,broken clouds,04d
1554141600,2019-04-01 18:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,3.55,2.88,4.61,6,190,11,,,,,804,Clouds,overcast clouds,04n
1554145200,2019-04-01 19:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,3.09,1.76,4.27,7,190,,,,,,804,Clouds,overcast clouds,04n
1554148800,2019-04-01 20:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,2.23,0.06,3.01,3,200,,,,,,803,Clouds,broken clouds,04n
1554152400,2019-04-01 21:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.79,-0.06,3.4,7,200,,,,,,801,Clouds,few clouds,02n
1554156000,2019-04-01 22:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.22,-1.17,2.85,4,170,,,,,,800,Clear,sky is clear,01n
1554159600,2019-04-01 23:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,0.92,-1.29,2.85,4.1,183,7.6,,,,,801,Clouds,few clouds,02n
1554163200,2019-04-02 00:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,0.59,-2.04,2.27,6,200,10,,,,,802,Clouds,scattered clouds,03n
1554166800,2019-04-02 01:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.2,-1.68,2.85,4,190,,,,,,803,Clouds,broken clouds,04n
1554170400,2019-04-02 02:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.04,-1.14,2.27,4,180,,,,,,804,Clouds,overcast clouds,04n
1554174000,2019-04-02 03:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.17,-1.02,2.17,3,160,,,,,,804,Clouds,overcast clouds,04n
1554177600,2019-04-02 04:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,0.98,-1.02,2.67,4.6,154,6.2,,,,,804,Clouds,overcast clouds,04n
1554181200,2019-04-02 05:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.01,-0.44,2.47,4,160,,,,,,804,Clouds,overcast clouds,04d
1554184800,2019-04-02 06:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.51,0.06,2.85,5,170,8,,,,,803,Clouds,broken clouds,04d
1554188400,2019-04-02 07:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,2.24,1.2,3.67,3.6,171,6.6,,,,,804,Clouds,overcast clouds,04d
1554192000,2019-04-02 08:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,2.88,1.88,4.61,4,170,,,,,,804,Clouds,overcast clouds,04d
1554195600,2019-04-02 09:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.41,3.2,5.79,4,160,,,,,,803,Clouds,broken clouds,04d
1554199200,2019-04-02 10:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,5.02,3.58,6.83,5,170,,,,,,804,Clouds,overcast clouds,04d
1554202800,2019-04-02 11:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,6.79,4.36,8.98,4,130,,,,,,803,Clouds,broken clouds,04d
1554206400,2019-04-02 12:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,7.91,6.16,10.09,5,150,8,,,,,802,Clouds,scattered clouds,03d
1554210000,2019-04-02 13:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,8.55,7.46,9.63,4.9,200,8.1,,,,,801,Clouds,few clouds,02d
1554213600,2019-04-02 14:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,9.33,8.01,11.21,6,220,,,,,,801,Clouds,few clouds,02d
1554217200,2019-04-02 15:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,9.09,7.72,10.36,5,150,,,,,,801,Clouds,few clouds,02d
1554220800,2019-04-02 16:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,8.74,7.61,9.36,3,220,,,,,,800,Clear,sky is clear,01d
1554224400,2019-04-02 17:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,7.29,5.5,8.93,3,160,,,,,,801,Clouds,few clouds,02d
1554228000,2019-04-02 18:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,5,1.81,8.21,4,100,9,,,,,803,Clouds,broken clouds,04d
1554231600,2019-04-02 19:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,3.26,-0.01,6.21,6,110,,,,,,803,Clouds,broken clouds,04n
1554235200,2019-04-02 20:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,3,-0.89,5.48,6,90,,,,,,804,Clouds,overcast clouds,04n
1554238800,2019-04-02 21:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,2.72,-1.39,5.48,7,100,,,,,,804,Clouds,overcast clouds,04n
1554242400,2019-04-02 22:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.83,-1.74,4.98,5.1,108,10.5,,,,,804,Clouds,overcast clouds,04n
1554246000,2019-04-02 23:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.78,-1.94,4.89,5,120,,,,,,804,Clouds,overcast clouds,04n
1554249600,2019-04-03 00:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.15,-2.24,3.99,5,100,11,,,,,804,Clouds,overcast clouds,04n
1554253200,2019-04-03 01:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.09,-2.54,3.59,5,82,7.1,,,,,803,Clouds,broken clouds,04n
1554256800,2019-04-03 02:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.46,-2.79,3.96,5,80,,,,,,804,Clouds,overcast clouds,04n
1554260400,2019-04-03 03:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.24,-2.79,3.4,6,20,,,,,,804,Clouds,overcast clouds,04n
1554264000,2019-04-03 04:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.4,-1.68,3.4,5.9,65,8.3,,,,,804,Clouds,overcast clouds,04n
1554267600,2019-04-03 05:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,1.72,-1.68,3.4,7,60,,,,0.2,,600,Snow,light snow,13d
1554271200,2019-04-03 06:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,2.24,-0.01,3.4,5,60,10,,,,,804,Clouds,overcast clouds,04d
1554274800,2019-04-03 07:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,2.99,0.71,3.96,5,70,,,,,,804,Clouds,overcast clouds,04d
1554278400,2019-04-03 08:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,3.23,1.97,4.27,6,60,,,,,,804,Clouds,overcast clouds,04d
1554282000,2019-04-03 09:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.02,2.5,5.07,3,40,,,,,,801,Clouds,few clouds,02d
1554285600,2019-04-03 10:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.72,3.25,5.62,4,30,,,,,,804,Clouds,overcast clouds,04d
1554289200,2019-04-03 11:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,5.43,3.61,6.61,5,40,,0.5,,,,500,Rain,light rain,10d
1554292800,2019-04-03 12:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,5.43,3.41,6.49,4,40,9,1.11,,,,501,Rain,moderate rain,10d
1554296400,2019-04-03 13:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.52,2.71,5.94,6,40,,,,0.4,,600,Snow,light snow,13d
1554300000,2019-04-03 14:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.5,2.77,5.94,4,30,,0.1,,,,804,Clouds,overcast clouds,04d
1554303600,2019-04-03 15:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.65,2.77,6.18,4,40,,,,,,804,Clouds,overcast clouds,04d
1554307200,2019-04-03 16:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.74,2.77,6.18,5,40,,,,,,804,Clouds,overcast clouds,04d
1554310800,2019-04-03 17:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.99,2.77,6.18,5,50,,,,,,804,Clouds,overcast clouds,04d
1554314400,2019-04-03 18:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.45,2.21,5.79,5,50,8,,,,,803,Clouds,broken clouds,04d
1554318000,2019-04-03 19:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.44,2.21,5.89,4,50,,,,,,804,Clouds,overcast clouds,04n
1554321600,2019-04-03 20:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.19,2.21,5.48,5,40,,,,,,804,Clouds,overcast clouds,04n
1554325200,2019-04-03 21:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,4.14,2.21,5.48,5,40,,,,,,804,Clouds,overcast clouds,04n
1554328800,2019-04-03 22:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,3.66,2.21,4.74,1,80,,,,,,803,Clouds,broken clouds,04n
1554332400,2019-04-03 23:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,3.38,2.13,4.27,1,230,,,,,,804,Clouds,overcast clouds,04n
1554336000,2019-04-04 00:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,3.32,1.96,4.74,2,340,3,,,,,802,Clouds,scattered clouds,03n
1554339600,2019-04-04 01:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,3.32,1.1,5.38,5,50,,,,,,801,Clouds,few clouds,02n
1554343200,2019-04-04 02:00:00 +0000 UTC,7200,Oslo,59.913869,10.752245,2.7,-0.31,4.88,6,40,,,,,,802,Clouds,scattered clouds,03n
