,start_station_id,lat,lon,name,description
0,377,59.915667,10.7775665,Tøyenparken,ved Caltexløkka
1,378,59.92984300295666,10.711284727205708,Colosseum Kino,langs Fridtjof Nansens vei
2,380,59.93923,10.75917,Bentsebrugata,rett over busstoppet
3,381,59.91252,10.76224,Grønlands torg,ved Tøyenbekken
4,382,59.92958561753996,10.732839000000013,Stensgata,ved trikkestoppet
5,383,59.934936,10.749466,Arkitekt Rivertz Plass,langs Uelands gate
6,384,59.919463,10.743829,Vår Frelsers gravlund sør,langs Ullevålsveien
7,385,59.918632,10.757867,Søndre gate,ved Ankerbrua
8,386,59.930596,10.714778,Slemdalsveien,ved Majorstuen T-bane
9,387,59.914586,10.735453,Studenterlunden,langs Karl Johan
10,388,59.9163309,10.716349,Skovveien,langs Frognerveien
11,389,59.9205528,10.7342854,Pilestredet Studenthus,ved Stensberggata
12,390,59.91424026794647,10.732771354719745,Saga Kino,langs Olav Vs gate
13,391,59.9268706,10.7384634,St. Hanshaugen park vest,ved busstoppet Colletts gate
14,392,59.91018085263352,10.751698750995615,Sjøsiden ved fontenen,Oslo S
15,393,59.939244,10.774319,Hans Nielsen Hauges plass,langs Hans Nielsen Hauges gate
16,394,59.943777539367225,10.760121127577955,Bjølsen Studentby,ved rundkjøringen
17,395,59.9261831,10.7098327,Frogner Tennisklubb,ved inngangen til tennisbanen
18,396,59.91300035973293,10.746760585982289,Kirkeristen,ved Torggata
19,397,59.94671044754387,10.773805285879131,Storo Storsenter,langs Vitaminveien
20,398,59.92843404417577,10.75943014633117,Ringnes Park,ved Sannergata
21,399,59.929545,10.7489862,Uelands gate,Ved Ulvetrappen (Ilatrappen)
22,400,59.919927,10.735428,OsloMet,langs Pilestredet
23,401,59.920259,10.760629,Lille Schous plass,lengst vekk fra rundkjøring
24,402,59.93087712510462,10.791823716034967,Lørenveien,sør for Lørenparken
25,403,59.921768,10.730476,Parkveien,ved trikkestoppet
26,404,59.914306,10.720202,Oslo Handelsgymnasium,ved Solligata
27,405,59.92808,10.708767,Frognerbadet,langs Middelthuns gate
28,406,59.92507,10.775996,Carl Berners plass sør,langs Finnmarkgata
29,407,59.937743,10.751648,Sagene bussholdeplass,langs Kierschovs gate
30,408,59.914943,10.773977,Tøyen skole,forsiden av skolebygget
31,409,59.940398,10.730036,John Colletts plass,ved Sognsveien
32,410,59.929005,10.7496755,Landstads gate,langs Uelands gate
33,411,59.923240042155456,10.792831438028704,Hasle Torg,ved busstoppet
34,412,59.917866,10.754898,Jakob kirke,langs Torggata
35,413,59.929045,10.716926,Majorstuen,på Vinkelplassen
36,414,59.910242,10.73857,Kontraskjæret,ved Christiania Torv
37,415,59.929542,10.781053,Sinsenveien,ved Kongehellegata
38,416,59.932383,10.741475,Tannlegehøyskolen,langs Geitmyrsveien
39,417,59.922485,10.720896,Uranienborgparken,langs Holtegata
40,418,59.907674,10.686843,Norsk Folkemuseum,utenfor inngangen
41,419,59.9141252,10.751824,Storgata,i starten av Youngs gate
42,420,59.94032925181832,10.766136667493829,Bjølsendumpa,langs Treschows gate
43,421,59.92806670615684,10.751202636819611,Alexander Kiellands Plass,langs Maridalsveien
44,422,59.923703,10.740542,St. Hanshaugen,langs Waldemar Thranes gate
45,423,59.920335,10.760804,Schous plass,nærmest rundkjøringen
46,424,59.9256113,10.760926,Birkelunden,langs Seilduksgata
47,425,59.932792,10.734457,Adamstuen,ved trikkestoppen
48,426,59.91728078292675,10.708375798767436,Gimle Kino,ved Frogner Kirke
49,427,59.920218,10.717978,Briskeby,ved Uranienborg skole
50,428,59.9193337,10.6968953,Olav Kyrres plass,ved den sveitsiske ambassade
51,429,59.92208,10.68588,Thune,ved bomringen
52,430,59.91372007130073,10.735886645853412,Spikersuppa Vest,ved Nasjonalteateret
53,431,59.927292,10.773185,Chr. Michelsens Gate,ved Fjellgata
54,432,59.924821,10.739909,St. Hanshaugen park sør,ved dammen
55,433,59.931828,10.748745,Ila,langs Uelandsgt ved Colletts
56,434,59.9358883,10.7350062,Lindern,krysset ved Kirkeveien og Stensgata
57,435,59.915424,10.714577,Fram-gården,langs Bygdøy Allé
58,436,59.9244031,10.7130691,Vestkanttorvet,langs Tidemands gate
59,437,59.91546786564256,10.751140873016311,Sentrum Scene,ved Arbeidersamfunnets plass
60,438,59.949239,10.768576,BI Nydalen,ved hovedinngangen
61,439,59.9283928,10.7559693,Mølleparken,ved Sannerbrua
62,440,59.9172088,10.7622135,Lakkegata,ved Sundtkvartalet
63,441,59.903989,10.741077,Vippetangen øst,nærmest Operaen
64,442,59.92251,10.75101,Vulkan,ved Maridalsveien
65,443,59.91015446696496,10.751980909227372,Sjøsiden ved trappen,Oslo S
66,444,59.925265,10.750462,AHO,langs Maridalsveien
67,445,59.921673,10.67666,Sjølyst,Drammensveien ved rundkjøring
68,446,59.925471317049954,10.73121932213806,Bislett Stadion,ved rundkjøringen
69,447,59.904473,10.786167,Kværnerbyen,langs Smeltedigelen
70,448,59.91218291295141,10.7544337247013,Oslo Plaza,ved rundkjøringen
71,449,59.91357497092093,10.726229742333288,Ruseløkkgården,langs Løkkeveien
72,450,59.919524,10.70884,Elisenberg,ved holdeplassen
73,451,59.929419,10.726195,Suhms gate,ved Oslo døvekirke
74,452,59.903989,10.740627,Vippetangen vest,nærmest Rådhuset
75,453,59.92753764682686,10.71026280326126,Frogner Stadion,ved hovedinngangen
76,454,59.9198098,10.651118,Furulund,langs Vækerøveien
77,455,59.922337,10.7617503,Sofienbergparken sør,langs Sofienberggata
